title,year,rating,genre,synopsis,sinopse_limpa,Cluster,sinopse_melhorada,sinopse_melhorada_limpa
Um Sonho de Liberdade,1994,9.3,Drama,"Dois homens presos se reúnem ao longo de vários anos, encontrando consolo e eventual redenção através de atos de decência comum.",doi hom pres reun long vari ano encontr consol event redenca atrav ato decenc comum,Cluster 1,"Condenado por um crime que jura não ter cometido, o tímido banqueiro Andy Dufresne chega à sombria Penitenciária de Shawshank, onde, ao longo de décadas, constrói uma improvável amizade com o veterano Red e transforma o cotidiano brutal da prisão com inteligência, perseverança e pequenos atos de humanidade — da ampliação da biblioteca à gestão financeira que o aproxima do poder do carcereiro; sua paciência e esperança culminam em uma fuga brilhante e numa promessa de redenção que ressoa no reencontro final além dos muros.",conden crim jur nao ter comet tim banc andy dufresn cheg sombr penitenci shawshank ond long dec constro improva amizad veter red transform cotidi brut prisa inteligenc perseveranc pequen ato human ampliaca bibliotec gesta financ aprox pod carcer pacienc esperanc culmin fug brilh promess redenca resso reencontr final alem mur
O Poderoso Chefão,1972,9.2,Drama,O patriarca idoso de uma dinastia do crime organizado transfere o controle de seu império clandestino para seu filho relutante.,patriarc idos dinast crim organiz transf control imperi clandestin filh relut,Cluster 1,"Dirigido por Francis Ford Coppola e baseado no romance de Mario Puzo, O Poderoso Chefão (1972) acompanha Vito Corleone (Marlon Brando), o patriarca de uma poderosa família criminosa na América do pós-guerra, que lentamente transfere o controle do império ao filho relutante Michael (Al Pacino); o filme explora temas de poder, lealdade, corrupção e corrupção moral enquanto Michael se transforma de herói distante em chefe implacável. A obra, com trilha de Nino Rota, performances icônicas e roteiro premiado, tornou-se marco cultural e referência do cinema sobre máfia.",dirig francil ford coppol base romanc mari puz poder chefa 1972 acompanh vit corleon marlon br patriarc poder famil crimin amer posguerr lent transf control imperi filh relut michael al pacin film expl tem pod lealdad corrupca corrupca moral enquant michael transform hero dist chef implaca obr trilh nin rot performanc icon rot premi tornous marc cult referenc cinem sobr maf
Batman: O Cavaleiro das Trevas,2008,9.1,"Ação, Drama, Suspense","Agora com a ajuda do tenente Jim Gordon e do promotor público Harvey Dent, Batman tem tudo para banir o crime de Gotham City de uma vez por todas. Mas em breve, os três serão vítimas do Coringa, que pretende lançar Gotham em uma anarquia.",agor ajud tenent jim gordon promot publ harvey dent batman tud ban crim goth city vez tod brev tre sera vit coring pretend lanc goth anarqu,Cluster 2,"Com a ajuda do tenente Jim Gordon e do idealista promotor público Harvey Dent, Bruce Wayne, como Batman, parece ter uma oportunidade real de erradicar o crime organizado que assola Gotham; porém a chegada do imprevisível Coringa — um gênio do caos que desafia as leis, a moral e os métodos do vigilante — desencadeia uma escalada de violência e manipulação que testa a confiança entre os três, expõe as fragilidades das instituições da cidade e força Batman a confrontar os limites éticos de sua própria cruzada pela justiça.",ajud tenent jim gordon ideal promot publ harvey dent bruc wayn batman parec ter oportun real erradic crim organiz assol goth por cheg imprevisi coring geni cao desaf lei moral metod vigil desencade escal violenc manipulaca test confianc tre expo fragil instituico cidad forc batman confront limit etic propr cruz jus
O Poderoso Chefão: Parte II,1974,9.0,Drama,"O início da vida e da carreira de Vito Corleone na década de 1920 em Nova York, enquanto seu filho, Michael, expande e fortalece seu controle sobre o sindicato do crime.",inici vid carr vit corleon dec 1920 nov york enquant filh michael expand fortalec control sobr sindicat crim,Cluster 1,"Em narrativa paralela e épica dirigida por Francis Ford Coppola, O Poderoso Chefão: Parte II acompanha a infância e a ascensão de Vito Corleone (Robert De Niro) em Nova York nos anos 1920 — de imigrante vulnerável a chefe respeitado — enquanto seu filho Michael (Al Pacino) luta, nos anos posteriores, para expandir e legitimar o império da família entre Las Vegas, Cuba e os bastidores do crime organizado, enfrentando traições (incluindo a de Fredo), o implacável Hyman Roth e o custo moral que corrói suas relações familiares; vencedor de vários Oscars, o filme aprofunda temas de poder, lealdade e ruína pessoal.",narr paralel epic dirig francil ford coppol poder chefa part ii acompanh infanc ascensa vit corleon robert nir nov york ano 1920 imigr vulnera chef respeit enquant filh michael al pacin lut ano posteri expand legitim imperi famil la veg cub bast crim organiz enfrent traico inclu fred implaca hyman roth cust moral corro relaco famili venc vari osc film aprofund tem pod lealdad ruin pessoal
12 Homens e uma Sentença,1957,9.0,Drama,"O julgamento de um assassinato em Nova Iorque é frustrado por um único membro, cujo ceticismo força o júri a considerar cuidadosamente as evidências antes de dar o veredito.",julg assassinat nov iorqu frustr unic membr cuj cetic forc jur consider cuidados evidenc ant dar veredit,Cluster 1,"Em um abafado salão de deliberação em Nova York, doze jurados decidem o destino de um jovem acusado de assassinar o próprio pai; quando a votação inicial aponta 11 a 1 pela culpa, o pacífico Jurado 8 (interpretado por Henry Fonda) pede que reconsiderem, plantando a semente da dúvida razoável. À medida que confrontam provas aparentemente conclusivas — a faca, testemunhos e o cronograma do trem — emergem tensões, preconceitos e personalidades conflitantes; sob a direção de Sidney Lumet e roteiro de Reginald Rose, o filme examina a busca pela justiça, a responsabilidade cívica e o poder persuasivo da argumentação racional.",abaf sala deliberaca nov york doz jur decid destin jov acus assassin propri pai votaca inic apont 11 1 culp pacif jur 8 interpret henry fond ped reconsid plant sement duvid razoa med confront prov aparent conclus fac testemunh cronogram tr emerg tenso preconceit personal conflit sob direca sidney lumet rot reginald ros film examin busc jus respons civic pod persuas argumentaca racion
O Senhor dos Anéis: O Retorno do Rei,2003,9.0,"Aventura, Drama",Gandalf e Aragorn lideram o Mundo dos Homens contra o exército de Sauron para desviar o olhar de Frodo e Sam quando eles se aproximam á Montanha da Perdição com o Um Anel.,gandalf aragorn lid mund hom contr exercit sauron desvi olh frod sam aproxim montanh perdica anel,Cluster 1,"Enquanto Frodo e Sam, guiados e traiçoeiramente manipulados por Gollum, lutam pela sobrevivência e pelo fardo do Um Anel rumo à Montanha da Perdição, Gandalf e Aragorn mobilizam as forças do Mundo dos Homens: Gandalf defende a assediada Minas Tirith, e Aragorn reúne os Rohirrim, recupera as frotas de Pelargir com a ajuda dos Caminhantes, e lidera um desesperado ataque final no Portão Negro para distrair Sauron. Em meio à queda de reis e sacrifícios — com cenas épicas como o Cerco de Pelennor, a morte de Théoden, a coragem de Éowyn e a influência trágica de Gollum — desenrola-se o destino da Terra-média e a coroação do rei retornado.",enquant frod sam gui traicoe manipul gollum lut sobrevivenc fard anel rum montanh perdica gandalf aragorn mobiliz forc mund hom gandalf defend assedi min tirith aragorn reun rohirrim recup frot pelarg ajud caminh lid desesper ataqu final porta negr distra sauron mei qued reil sacrifici cen epic cerc pelenn mort theoden corag eowyn influenc trag gollum desenrolas destin terramed coroaca rei retorn
A Lista de Schindler,1993,9.0,"Biografia, Drama, História","Na Polônia ocupada pelos alemães durante a Segunda Guerra Mundial, o industrial Oskar Schindler começa a se preocupar com seus trabalhadores judeus depois de testemunhar sua perseguição pelos nazistas.",polon ocup alema dur segund guerr mund industr osk schindl comec preocup trabalh jud testemunh perseguica nazist,Cluster 4,"Na Polônia ocupada pelos nazistas durante a Segunda Guerra Mundial, o industrial oportunista Oskar Schindler (Liam Neeson) transforma-se de empresário ambicioso em salvador de mais de mil judeus ao empregar e proteger trabalhadores em suas fábricas; ao lado do contador Itzhak Stern (Ben Kingsley) e confrontando a brutalidade do comandante Amon Göth (Ralph Fiennes), Schindler organiza a famosa ""lista"" de nomes para escapar das deportações. Dirigido por Steven Spielberg, filmado em preto e branco com a icônica trilha de John Williams, o filme — baseado no romance de Thomas Keneally — combina rigor histórico e impacto emocional, vencedor de múltiplos Oscars.",polon ocup nazist dur segund guerr mund industr oportun osk schindl li neeson transformas empresari ambici salv mil jud empreg proteg trabalh fabr lad cont itzhak stern ben kingsley confront brutal comand amon goth ralph fienn schindl organiz fam list nom escap deportaco dirig steven spielberg film pret branc icon trilh john will film base romanc thom keneally combin rigor histor impact emoc venc multipl osc
Pulp Fiction: Tempo de Violência,1994,8.8,Drama,"As vidas de dois assassinos da máfia, um boxeador, um gângster e sua esposa, e um par de bandidos se entrelaçam em quatro histórias de violência e redenção.",vid doi assassin maf boxe gangst esp par band entrelac quatr hist violenc redenca,Cluster 1,"Em Los Angeles, Quentin Tarantino entrelaça de forma não linear as trajetórias de dois assassinos de aluguel — Jules e Vincent —, o boxeador Butch Coolidge, o chefão Marsellus Wallace e sua enigmática esposa Mia, e o casal de assaltantes Pumpkin e Honey Bunny, em quatro episódios repletos de violência, humor ácido e diálogos pop, onde honra, culpa e redenção se chocam em situações inesperadas, criando um mosaico tenso, estilizado e memorável que redefiniu o cinema independente dos anos 1990.",lo angel quentin tarantin entrelac form nao line trajet doi assassin aluguel jul vincent boxe butch coolidg chefa marsellu wallac enigma esp mia casal assalt pumpkin honey bunny quatr episodi replet violenc hum acid dialog pop ond honr culp redenca choc situaco inesper cri mosa tens estil memora redefin cinem independ ano 1990
O Senhor dos Anéis: A Sociedade do Anel,2001,8.9,"Aventura, Drama, Fantasia",Um manso hobbit do Condado e oito companheiros partem em uma jornada para destruir o poderoso Um Anel e salvar a Terra-média das Trevas.,mans hobbit cond oit companh part jorn destru poder anel salv terramed trev,Cluster 1,"Frodo Bolseiro, um pacato hobbit do Condado, herda o maléfico Um Anel e, sob a orientação do mago Gandalf, junta-se a uma irmandade de nove — Sam, Merry, Pippin, Aragorn, Legolas, Gimli e Boromir — formada em Valfenda para impedir que Sauron o recupere; sua missão é levar o Anel até a forja de Mount Doom e destruí‑lo. A jornada os conduz por paisagens grandiosas e perigos crescentes, testando lealdade, coragem e a capacidade corruptora do Anel, numa épica mistura de aventura, amizade e sacrifício.",frod bols pacat hobbit cond herd malef anel sob orientaca mag gandalf juntas irmandad nov sam merry pippin aragorn legol giml borom form valfend imped sauron recup missa lev anel ate forj mount doom destruil jorn conduz pais grandi perig cresc test lealdad corag capac corrup anel epic mist avent amizad sacrifici
Três Homens em Conflito,1966,8.8,Aventura,Um impostor se junta com dois homens para encontrar fortuna num remoto cemitério.,impos junt doi hom encontr fortun remot cemiteri,Cluster 0,"No épico faroeste dirigido por Sergio Leone, três homens — o taciturno pistoleiro Blondie (Clint Eastwood), o implacável mercenário Angel Eyes (Lee Van Cleef) e o astuto fora-da-lei Tuco (Eli Wallach) — formam alianças tênues e trocam traições enquanto cruzam um Oeste devastado pela Guerra Civil em busca de um tesouro confederado enterrado num cemitério remoto; marcado pela trilha inesquecível de Ennio Morricone, pela fotografia estilizada e pelo tenso duelo final no Sad Hill, o filme explora ganância, sobrevivência e honra num espetáculo visual e sonoro.",epic faroest dirig sergi leon tre hom taciturn pistol blondi clint eastwood implaca mercenari angel eye lee van cleef astut foradal tuc eli wallach form alianc tenu troc traico enquant cruz oest devast guerr civil busc tesour confeder enterr cemiteri remot marc trilh inesqueci enni morricon fotograf estil tens duel final sad hill film expl gananc sobrevivenc honr espetacul visual sonor
