title,year,rating,genre,synopsis,sinopse_limpa,Cluster
Um Sonho de Liberdade,1994,9.3,Drama,"Dois homens presos se reúnem ao longo de vários anos, encontrando consolo e eventual redenção através de atos de decência comum.",doi hom pres reun long vari ano encontr consol event redenca atrav ato decenc comum,Cluster 1
O Poderoso Chefão,1972,9.2,Drama,O patriarca idoso de uma dinastia do crime organizado transfere o controle de seu império clandestino para seu filho relutante.,patriarc idos dinast crim organiz transf control imperi clandestin filh relut,Cluster 1
Batman: O Cavaleiro das Trevas,2008,9.1,"Ação, Drama, Suspense","Agora com a ajuda do tenente Jim Gordon e do promotor público Harvey Dent, Batman tem tudo para banir o crime de Gotham City de uma vez por todas. Mas em breve, os três serão vítimas do Coringa, que pretende lançar Gotham em uma anarquia.",agor ajud tenent jim gordon promot publ harvey dent batman tud ban crim goth city vez tod brev tre sera vit coring pretend lanc goth anarqu,Cluster 2
O Poderoso Chefão: Parte II,1974,9.0,Drama,"O início da vida e da carreira de Vito Corleone na década de 1920 em Nova York, enquanto seu filho, Michael, expande e fortalece seu controle sobre o sindicato do crime.",inici vid carr vit corleon dec 1920 nov york enquant filh michael expand fortalec control sobr sindicat crim,Cluster 1
12 Homens e uma Sentença,1957,9.0,Drama,"O julgamento de um assassinato em Nova Iorque é frustrado por um único membro, cujo ceticismo força o júri a considerar cuidadosamente as evidências antes de dar o veredito.",julg assassinat nov iorqu frustr unic membr cuj cetic forc jur consider cuidados evidenc ant dar veredit,Cluster 1
O Senhor dos Anéis: O Retorno do Rei,2003,9.0,"Aventura, Drama",Gandalf e Aragorn lideram o Mundo dos Homens contra o exército de Sauron para desviar o olhar de Frodo e Sam quando eles se aproximam á Montanha da Perdição com o Um Anel.,gandalf aragorn lid mund hom contr exercit sauron desvi olh frod sam aproxim montanh perdica anel,Cluster 1
A Lista de Schindler,1993,9.0,"Biografia, Drama, História","Na Polônia ocupada pelos alemães durante a Segunda Guerra Mundial, o industrial Oskar Schindler começa a se preocupar com seus trabalhadores judeus depois de testemunhar sua perseguição pelos nazistas.",polon ocup alema dur segund guerr mund industr osk schindl comec preocup trabalh jud testemunh perseguica nazist,Cluster 4
Pulp Fiction: Tempo de Violência,1994,8.8,Drama,"As vidas de dois assassinos da máfia, um boxeador, um gângster e sua esposa, e um par de bandidos se entrelaçam em quatro histórias de violência e redenção.",vid doi assassin maf boxe gangst esp par band entrelac quatr hist violenc redenca,Cluster 1
O Senhor dos Anéis: A Sociedade do Anel,2001,8.9,"Aventura, Drama, Fantasia",Um manso hobbit do Condado e oito companheiros partem em uma jornada para destruir o poderoso Um Anel e salvar a Terra-média das Trevas.,mans hobbit cond oit companh part jorn destru poder anel salv terramed trev,Cluster 1
Três Homens em Conflito,1966,8.8,Aventura,Um impostor se junta com dois homens para encontrar fortuna num remoto cemitério.,impos junt doi hom encontr fortun remot cemiteri,Cluster 0
Forrest Gump: O Contador de Histórias,1994,8.8,"Drama, Romance","Os governos dos presidentes Kennedy e Johnson, os eventos do Vietnã e Watergate e outras histórias são mostradas através da perspectiva de um homem do Alabama com baixo quociente intelectual.",govern presid kennedy johnson event vietn watergat outr hist sao mostr atrav perspec hom alabam baix quoci intelect,Cluster 1
O Senhor dos Anéis: As Duas Torres,2002,8.8,"Aventura, Drama, Fantasia","Enquanto Frodo e Sam estão perto de Mordor com a ajuda de Gollum, a divida comunhão luta contra Saruman e os Isengards.",enquant frod sam esta pert mord ajud gollum div comunha lut contr saruman isengard,Cluster 1
Clube da Luta,1999,8.8,"Drama, Suspense",Um trabalhador de escritório e um fabricante de sabonetes formam um clube de luta clandestino que evolui para algo muito maior.,trabalh escritori fabric sabonet form club lut clandestin evolu alg mai,Cluster 2
A Origem,2010,8.8,"Ação, Aventura, Ficção científica, Suspense",Um ladrão que rouba segredos corporativos através da tecnologia de entrar no subconsciente recebe a tarefa inversa de plantar uma idéia na mente do diretor de uma grande empresa.,ladra roub segred corpor atrav tecnolog entr subconsci receb taref invers plant ide ment dire grand empr,Cluster 0
Star Wars: Episódio V - O Império Contra-Ataca,1980,8.7,,"Depois que a Aliança Rebelde é dominada pelo Império, Luke Skywalker começa seu treinamento Jedi com Yoda, enquanto seus amigos são perseguidos por toda a galáxia por Darth Vader e pelo caçador de recompensas Boba Fett.",alianc rebeld domin imperi luk skywalk comec trein jed yod enquant amig sao persegu tod galax darth vad cac recompens bob fett,Cluster 1
Matrix,1999,8.7,"Ação, Ficção científica",Um hacker aprende com os misteriosos rebeldes sobre a verdadeira natureza de sua realidade e seu papel na guerra contra seus controladores.,hack aprend misteri rebeld sobr verd natur real papel guerr contr control,Cluster 0
Os Bons Companheiros,1990,8.7,"Biografia, Drama","A historia do Henry Hill e sua vida na máfia, sua relação com sua esposa Karen Hill e seus colegas da máfia Jimmy Conway e Tommy DeVito no sindicato italo-americano do crime.",hist henry hill vid maf relaca esp karen hill coleg maf jimmy conway tommy devit sindicat italoameric crim,Cluster 4
Interestelar,2014,8.7,"Aventura, Drama, Ficção científica","Uma equipe de exploradores viaja através de um buraco de minhoca no espaço, na tentativa de garantir a sobrevivência da humanidade.",equip explor viaj atrav burac minhoc espac tent garant sobrevivenc human,Cluster 0
Um Estranho no Ninho,1975,8.7,Drama,"Um criminoso alega insanidade para ser enviado a um centro de saúde mental, onde se rebela contra a opressiva enfermeira e mobiliza os pacientes a quem ela atemoriza.",crimin aleg insan envi centr saud ment ond rebel contr opress enferm mobiliz paci atemoriz,Cluster 1
Seven - Os Sete Crimes Capitais,1995,8.6,"Drama, Mistério","Dois detetives, um novato e um veterano, perseguem um assassino em série que usa os sete pecados capitais como motivos.",doi detetiv novat veter perseg assassin seri usa set pec capit motiv,Cluster 1
A Felicidade Não se Compra,1946,8.6,"Drama, Família, Fantasia, Romance","Um anjo é enviado dos céus para ajudar um homem de negócios desesperado em sua frustração, e mostra a ele como seria a vida se nunca tivesse existido.",anj envi ceu ajud hom negoci desesper frustraca mostr vid nunc exist,Cluster 1
O Silêncio dos Inocentes,1991,8.6,"Drama, Suspense","Uma jovem deve receber a ajuda de um assassino canibal manipulador e preso para ajudar a capturar outro assassino em série, um louco que ataca suas vítimas.",jov dev receb ajud assassin canib manipul pres ajud captur outr assassin seri louc atac vit,Cluster 2
Os Sete Samurais,1954,8.6,"Ação, Drama",Uma aldeia pobre sob a ameaça de bandidos recruta sete samurais para ajudá-los a se defenderem.,alde pobr sob ameac band recrut set samur ajudal defend,Cluster 1
O Resgate do Soldado Ryan,1998,8.6,"Drama, Guerra","Depois de chegar a Normandía, um grupo de soldados precisa encontrar o único irmão vivo de três que morreram na guerra.",cheg normand grup sold precis encontr unic irma viv tre morr guerr,Cluster 3
À Espera de um Milagre,1999,8.6,"Drama, Fantasia, Mistério","As vidas dos guardas de corredor da morte são afetadas por um dos detidos: um homem afro-americano acusado pelo assassinato e estupro de uma criança, mas com um presente misterioso.",vid guard corr mort sao afet det hom afroameric acus assassinat estupr crianc pres misteri,Cluster 1
Cidade de Deus,2002,8.6,Drama,"Os caminhos de duas crianças divergem nas favelas do Rio, enquanto um se esforça para se tornar um fotógrafo e o outro um chefe do tráfico.",caminh dua crianc diverg favel rio enquant esforc torn fotograf outr chef traf,Cluster 1
A Vida é Bela,1997,8.6,"Comédia, Drama, Guerra, Romance","Quando um bibliotecário judeu e seu filho se tornarem vítimas do Holocausto, ele usará uma mistura perfeita de vontade, humor e imaginação para proteger seu filho dos perigos do campo de concentração.",bibliotecari jud filh torn vit holocaust us mist perfeit vontad hum imaginaca proteg filh perig camp concentraca,Cluster 3
O Exterminador do Futuro 2: O Julgamento Final,1991,8.6,"Ação, Aventura, Ficção científica","Um ciborgue, idêntico ao que falhou em matar Sarah Connor, agora deve proteger o filho de dez anos dela, John, de um ciborgue ainda mais avançado e poderoso.",ciborg iden falh mat sarah conn agor dev proteg filh dez ano john ciborg aind avanc poder,Cluster 0
Star Wars: Episódio IV - Uma Nova Esperança,1977,8.6,Ação,"Luke Skywalker une forças com um cavaleiro Jedi, um piloto arrogante, um Wookiee e dois andróides para salvar a galáxia da estação de batalha destruidora do Império, enquanto tenta resgatar a Princesa Leia do misterioso Darth Vader.",luk skywalk une forc caval jed pilot arrog wookie doi android salv galax estaca batalh destru imperi enquant tent resgat princes lei misteri darth vad,Cluster 0
De Volta para o Futuro,1985,8.5,"Aventura, Comédia, Ficção científica","Marty McFly viaja para 1955 com a máquina do tempo do cientista Dr. Brown. Ele deve garantir que seus pais se apaixonem, para não arriscar sua própria existência.",marty mcfly viaj 1955 maquin temp cient dr brown dev garant pal apaixon nao arrisc propr existenc,Cluster 0
